FORMULA	SMILES	INCHIKEY
C37H47NO12	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c(O)cc(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c(O)c3C	HJYYPODYNSCCOU-ODRIEIDWSA-N	
C45H76N2O15	CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O[C@H]2CC[C@@H]([C@H](C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O	ZPCCSZFPOXBNDL-RSMXASMKSA-N	
C53H52Cl2N8O17	CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](NC5=O)C(O)=O)c3O)c(Cl)c2	JHIKFOISFAQTJQ-YZANBJIASA-N	
C25H43NO8	C[C@@H](O)[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@]1(C)O	HYJMTIGQCJGKFQ-CGNAQTDSSA-N	
C16H19N3O6	COC1=C(C)C(=O)C2=C([C@H](COC(N)=O)[C@@]3(O)[C@@H]4[C@H](CN23)N4C)C1=O	UZUUQCBCWDBYCG-DQRAMIIBSA-N	
C28H47NO8	C[C@@H](O)[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@H]1C	SXXXXTQMWPXIES-VJNSTPMQSA-N	
C34H54O8	[H][C@@]1(O[C@@](CC)(C[C@@H]1C)[C@@]1([H])CC[C@](O)(CC)[C@H](C)O1)[C@@H](CC)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCC1=C(C(O)=O)C(O)=C(C)C=C1	BBMULGJBVDDDNI-OWKLGTHSSA-N	
C34H35ClN2O11	C12=C(C(=C(C(O1)=O)NC(C=3C=C(C(=CC3)O)CC=C(C)C)=O)O)C=CC(=C2Cl)O[C@H]4[C@@H]([C@@H]([C@@H](OC)C(O4)(C)C)OC(=O)C=5NC=CC5)O	PKUNXGQLUGXWJB-ZQZBKPNISA-N	
C17H18N2O6S	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(O)=O)c1ccccc1)C(O)=O	FPPNZSSZRUTDAP-UWFZAAFLSA-N	
C19H19N3O5S	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1ccccc1)C(O)=O	UWYHMGVUTGAWSP-JKIFEVAISA-N	
C23H38O5	CC[C@H]1C[C@@H](C)C(=O)\C=C\C(\C)=C\[C@H](C)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@H]1O	YJSXTLYNFBFHAT-HJOMEYPASA-N	
C8H13N2O3S	N1[C@H](C(S[C@]1([H])[C@H](N)C(=O)*)(C)C)C(O)=O		
C9H13N2O4S	N1[C@H](C(S[C@]1([H])[C@H](NC(=O)[H])C(=O)*)(C)C)C(O)=O		
C19H25N3O6S2	[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](CS)C(O)=O	ZKVQVUUPDWIKAR-ZGMNHVEMSA-N	
C13H18N5O8S2	[C@H](NC(=O)/C(/C1=CSC(=N1)N)=N\OC(C(=O)O)(C)C)([C@H](C)NS(O)(=O)=O)C(=O)*		
C13H19N2O4S2	[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)CSCC=C)C(C)=O		
C17H19N2O6S	N1([C@H](C(S[C@]1([H])[C@H](NC(CC2=CC=CC=C2)=O)C(=O)O)(C)C)C(O)=O)C(=O)*		
C26H42N2O6	N1(C(C(C/C=C\CCCC(=O)O)=C(C1=O)\C=C\[C@H](CCCCC)O)C)CCCC[C@@H](C(=O)O)N	JDBQHWGQSADILV-ZATLTPIUSA-N	
